                                 Instance                                 |                                   baronBM@0                                   |                                  baronBMc@0                                   |                                   baronHR@0                                   |                                  baronHRc@0                                   |                                   cplexBM@0                                   |                                  cplexHRc@0                                   |                                  knitroBM@0                                   |                                  knitroBMc@0                                  |                                  knitroHR@0                                   |                                  knitroHRc@0                                  |                                  mosekBM.2@0                                  |                                   mosekBM@0                                   |                                 mosekBMc.2@0                                  |                                  mosekBMc@0                                   |                                 mosekHRc.2@0                                  |                                  mosekHRc@0                                   |                                 sbbknitroBM@0                                 |                                sbbknitroBMc@0                                 |                                 sbbknitroHR@0                                 |                                sbbknitroHRc@0                                 |                                 sbbmosekBM@0                                  |                                 sbbmosekBMc@0                                 |                                 sbbmosekHR@0                                  |                                 sbbmosekHRc@0                                 |
kClus_5_20_5_1           146   100   130 min  1.019802e+00  3.034088e+00  |timelim     8.884516e-02      --  3.253693e+00      --  Large 3600.44   12852  |--                    --      --            --      --     --      --      -- !|timelim     0.000000e+00      --  3.217503e+00      --    inf 3600.12     814  |timelim     1.639003e-01      --  3.732657e+00      --  Large 3600.13    3236  |other       5.728336e-01      --  3.879866e+00      -- 577.31  867.46 1000000 !|timelim     2.302338e-01      --  3.034088e+00      --  Large 3600.01   24100  |timelim     9.575011e-01      --  5.568130e+00      -- 481.53 3600.50  188174  |--                    --      --            --      --     --      --      -- !|timelim     7.398837e-01      --  6.117708e+00      -- 726.85 3600.22   51718  |timelim     3.466914e-01      --  7.040423e+00      --  Large 3600.05    4702  |timelim     0.000000e+00      --  3.464486e+00      --    inf 3602.18    6251  |timelim     1.019802e+00      --  3.969438e+00      -- 289.24 3600.57  256251  |timelim     0.000000e+00      --  3.464486e+00      --    inf 3602.18    6251  |timelim     1.019802e+00      --  3.969438e+00      -- 289.24 3600.57  256251  |timelim     0.000000e+00      --  3.398751e+00      --    inf 3600.81   11666  |timelim     9.492314e-01      --  3.624760e+00      -- 281.86 3600.27  121963  |other       3.325011e-01      --  3.540530e+00      -- 964.82  609.16    6603 !|other       3.325011e-01      --  3.540530e+00      -- 964.82  609.16    6603 !|other       3.293472e-01      --  4.009690e+00      --  Large 1603.51    6662 !|timelim     5.251209e-02      --  3.819317e+00      --  Large 3601.42    1669  |other       1.981022e-01      --  4.895172e+00      --  Large  295.36    6650 !|other       1.981022e-01      --  4.895172e+00      --  Large  295.36    6650 !|--                    --      --            --      --     --      --      -- !|other       3.840146e-01      --  3.846199e+00      -- 901.58  845.01    6662 !|
kClus_5_20_5_10          146   100   130 min  9.505962e-01  2.094046e+00  |timelim     7.224571e-02      --  2.313550e+00      --  Large 3600.09   16136  |--                    --      --            --      --     --      --      -- !|timelim     3.807821e-02      --  2.330780e+00      --  Large 3600.13     764  |timelim     0.000000e+00      --  2.797299e+00      --    inf 3600.18    2333  |other       7.921204e-01      --  2.379031e+00      -- 200.34  750.94 1000000 !|timelim     2.482236e-01      --  2.435463e+00      -- 881.16 3600.01   67267  |timelim     6.206582e-01      --  6.278816e+00      -- 911.64 3600.40  190953  |--                    --      --            --      --     --      --      -- !|timelim     6.182001e-01      --  4.200159e+00      -- 579.42 3600.21   52276  |timelim     2.124123e-01      --  6.082441e+00      --  Large 3600.04    5453  |timelim     0.000000e+00      --  3.830088e+00      --    inf 3602.70    6419  |timelim     9.505962e-01      --  2.094046e+00      -- 120.29 3600.25  258823  |timelim     0.000000e+00      --  3.830088e+00      --    inf 3602.70    6419  |timelim     9.505962e-01      --  2.094046e+00      -- 120.29 3600.25  258823  |timelim     0.000000e+00      --  2.395188e+00      --    inf 3600.70   10530  |timelim     7.818570e-01      --  2.094046e+00      -- 167.83 3600.18  136688  |other       2.241087e-01      --  2.915424e+00      --  Large  599.55    6604 !|other       2.241087e-01      --  2.915424e+00      --  Large  599.55    6604 !|other       2.359145e-01      --  2.608391e+00      --  Large 1587.84    6661 !|timelim     8.371765e-02      --  3.737573e+00      --  Large 3601.73    2042  |other       2.399620e-01      --  3.758466e+00      --  Large  291.33    6566 !|other       2.399620e-01      --  3.758466e+00      --  Large  291.33    6566 !|--                    --      --            --      --     --      --      -- !|other       2.920597e-01      --  3.023779e+00      -- 935.33  840.61    6662 !|
kClus_5_20_5_2           146   100   130 min  9.115877e-01  2.627292e+00  |timelim     0.000000e+00      --  2.688157e+00      --    inf 3600.12    6116  |--                    --      --            --      --     --      --      -- !|timelim     0.000000e+00      --  2.817088e+00      --    inf 3600.12     192  |timelim     0.000000e+00      --  2.726984e+00      --    inf 3600.10    1016  |other       5.841546e-01      --  3.096889e+00      -- 430.15  843.38 1000000 !|timelim     2.081260e-01      --  3.064354e+00      --  Large 3600.01   76600  |timelim     7.678310e-01      --  5.757029e+00      -- 649.78 3600.38  191442  |--                    --      --            --      --     --      --      -- !|timelim     6.609964e-01      --  6.051405e+00      -- 815.50 3600.22   52530  |timelim     1.727793e-01      --  5.391888e+00      --  Large 3600.04    5021  |timelim     0.000000e+00      --  3.746062e+00      --    inf 3602.03    7155  |timelim     9.115877e-01      --  2.627292e+00      -- 188.21 3600.50  258855  |timelim     0.000000e+00      --  3.746062e+00      --    inf 3602.03    7155  |timelim     9.115877e-01      --  2.627292e+00      -- 188.21 3600.50  258855  |timelim     0.000000e+00      --  2.959846e+00      --    inf 3600.93   14273  |timelim     7.007866e-01      --  2.627292e+00      -- 274.91 3600.25  119168  |other       3.028533e-01      --  2.665917e+00      -- 780.27  604.87    6636 !|other       3.028533e-01      --  2.665917e+00      -- 780.27  604.87    6636 !|other       2.462613e-01      --  3.334477e+00      --  Large 1541.34    6661 !|timelim     1.119791e-01      --  2.937105e+00      --  Large 3601.21    1467  |other       2.126470e-01      --  4.364861e+00      --  Large  294.33    6653 !|other       2.126470e-01      --  4.364861e+00      --  Large  294.33    6653 !|--                    --      --            --      --     --      --      -- !|other       3.555506e-01      --  2.895299e+00      -- 714.31  756.70    6643 !|
kClus_5_20_5_3           146   100   130 min  8.506160e-01  2.550864e+00  |timelim     1.372300e-03      --  2.827776e+00      --  Large 3600.16   13930  |--                    --      --            --      --     --      --      -- !|timelim     0.000000e+00      --  2.679176e+00      --    inf 3600.17     610  |timelim     0.000000e+00      --  3.006183e+00      --    inf 3600.09    2084  |other       4.021342e-01      --  3.261295e+00      -- 711.00  734.14 1000000 !|timelim     2.083138e-01      --  2.558978e+00      --  Large 3600.01   22500  |timelim     7.096788e-01      --  5.152482e+00      -- 626.03 3600.37  186490  |--                    --      --            --      --     --      --      -- !|timelim     5.739430e-01      --  5.095371e+00      -- 787.78 3600.23   54623  |timelim     2.422450e-01      --  5.613805e+00      --  Large 3600.03    3469  |timelim     0.000000e+00      --  3.258088e+00      --    inf 3602.05    6464  |timelim     8.506160e-01      --  2.550864e+00      -- 199.88 3600.51  253858  |timelim     0.000000e+00      --  3.258088e+00      --    inf 3602.05    6464  |timelim     8.506160e-01      --  2.550864e+00      -- 199.88 3600.51  253858  |timelim     0.000000e+00      --  2.754212e+00      --    inf 3600.82   14069  |timelim     6.293314e-01      --  2.676493e+00      -- 325.29 3600.26  121257  |other       2.674366e-01      --  3.046607e+00      --  Large  608.29    6640 !|other       2.674366e-01      --  3.046607e+00      --  Large  608.29    6640 !|other       2.785153e-01      --  5.373373e+00      --  Large 1548.67    6661 !|timelim     9.162446e-02      --  3.527269e+00      --  Large 3601.88    2077  |other       1.602074e-01      --  4.794600e+00      --  Large  293.50    6644 !|other       1.602074e-01      --  4.794600e+00      --  Large  293.50    6644 !|--                    --      --            --      --     --      --      -- !|other       2.923395e-01      --  3.285826e+00      --  Large  727.32    6660 !|
kClus_5_20_5_4           146   100   130 min  8.796701e-01  3.039107e+00  |timelim     0.000000e+00      --  3.042654e+00      --    inf 3600.63   14961  |--                    --      --            --      --     --      --      -- !|timelim     0.000000e+00      --  3.456285e+00      --    inf 3600.42     714  |timelim     0.000000e+00      --  3.555954e+00      --    inf 3600.08    1760  |other       3.694602e-01      --  3.715055e+00      -- 905.54  810.40 1000000 !|timelim     2.645620e-01      --  3.145200e+00      --  Large 3600.01   25300  |timelim     5.824447e-01      --  6.099933e+00      -- 947.30 3600.38  191793  |--                    --      --            --      --     --      --      -- !|timelim     5.074538e-01      --  6.617203e+00      --  Large 3600.23   55710  |timelim     1.876759e-01      --  3.935431e+00      --  Large 3600.05    6109  |timelim     0.000000e+00      --  4.078491e+00      --    inf 3602.57   10554  |timelim     8.796701e-01      --  3.172241e+00      -- 260.62 3600.59  259650  |timelim     0.000000e+00      --  4.078491e+00      --    inf 3602.57   10554  |timelim     8.796701e-01      --  3.172241e+00      -- 260.62 3600.59  259650  |timelim     0.000000e+00      --  3.039107e+00      --    inf 3600.92   11434  |timelim     8.018671e-01      --  3.382365e+00      -- 321.81 3600.28  119580  |other       2.842477e-01      --  3.284699e+00      --  Large  611.14    6633 !|other       2.842477e-01      --  3.284699e+00      --  Large  611.14    6633 !|other       2.510709e-01      --  4.455881e+00      --  Large 1525.09    6661 !|timelim     1.333062e-01      --  4.213320e+00      --  Large 3602.98    3299  |other       1.898847e-01      --  5.727305e+00      --  Large  298.03    6661 !|other       1.898847e-01      --  5.727305e+00      --  Large  298.03    6661 !|--                    --      --            --      --     --      --      -- !|other       3.381823e-01      --  3.951913e+00      --  Large  740.88    6661 !|
kClus_5_20_5_5           146   100   130 min  9.809255e-01  2.992746e+00  |timelim     0.000000e+00      --  3.039753e+00      --    inf 3600.14    7890  |--                    --      --            --      --     --      --      -- !|timelim     0.000000e+00      --  3.356250e+00      --    inf 3600.39     406  |timelim     2.194516e-02      --  3.253098e+00      --  Large 3600.09    1887  |other       3.582830e-01      --  3.409014e+00      -- 851.49  752.06 1000000 !|timelim     2.340033e-01      --  2.992746e+00      --  Large 3600.01   23800  |timelim     7.222277e-01      --  6.965463e+00      -- 864.44 3600.34  192246  |--                    --      --            --      --     --      --      -- !|timelim     5.453205e-01      --  6.692342e+00      --  Large 3600.30   56963  |timelim     2.430512e-01      --  6.650894e+00      --  Large 3600.17    4920  |timelim     0.000000e+00      --  3.446860e+00      --    inf 3602.16    8242  |timelim     9.809255e-01      --  3.556085e+00      -- 262.52 3600.60  256402  |timelim     0.000000e+00      --  3.446860e+00      --    inf 3602.16    8242  |timelim     9.809255e-01      --  3.556085e+00      -- 262.52 3600.60  256402  |timelim     0.000000e+00      --  3.371322e+00      --    inf 3601.17   17163  |timelim     6.558152e-01      --  3.232438e+00      -- 392.89 3600.26  127240  |other       3.010656e-01      --  3.087727e+00      -- 925.60  615.42    6599 !|other       3.010656e-01      --  3.087727e+00      -- 925.60  615.42    6599 !|other       2.347280e-01      --  3.562206e+00      --  Large 1533.99    6661 !|timelim     1.890865e-01      --  3.342357e+00      --  Large 3602.40    2845  |other       2.053810e-01      --  4.736636e+00      --  Large  293.96    6647 !|other       2.053810e-01      --  4.736636e+00      --  Large  293.96    6647 !|--                    --      --            --      --     --      --      -- !|other       2.734561e-01      --  3.308554e+00      --  Large  746.30    6662 !|
kClus_5_20_5_6           146   100   130 min  1.093516e+00  3.233630e+00  |timelim     0.000000e+00      --  3.388708e+00      --    inf 3600.59   10102  |--                    --      --            --      --     --      --      -- !|timelim     0.000000e+00      --  3.964277e+00      --    inf 3600.10     613  |timelim     1.927264e-02      --  3.925255e+00      --  Large 3600.09    2126  |other       6.332820e-01      --  3.755804e+00      -- 493.07  670.62 1000000 !|timelim     1.759902e-01      --  3.473452e+00      --  Large 3600.01   39495  |timelim     8.769172e-01      --  6.435419e+00      -- 633.87 3600.35  184802  |--                    --      --            --      --     --      --      -- !|timelim     7.919422e-01      --  6.647210e+00      -- 739.36 3600.21   52333  |timelim     3.007253e-01      --  6.555158e+00      --  Large 3600.05    3545  |timelim     0.000000e+00      --  4.117482e+00      --    inf 3602.34    9137  |timelim     1.093516e+00      --  3.233630e+00      -- 195.71 3600.55  250428  |timelim     0.000000e+00      --  4.117482e+00      --    inf 3602.34    9137  |timelim     1.093516e+00      --  3.233630e+00      -- 195.71 3600.55  250428  |timelim     0.000000e+00      --  3.637337e+00      --    inf 3601.01   11033  |timelim     8.854334e-01      --  3.570962e+00      -- 303.30 3600.25  115684  |other       3.075673e-01      --  3.814584e+00      --  Large  619.78    6600 !|other       3.075673e-01      --  3.814584e+00      --  Large  619.78    6600 !|other       2.722986e-01      --  4.440093e+00      --  Large 1537.65    6661 !|timelim     2.112046e-01      --  3.690385e+00      --  Large 3602.31    2687  |other       2.736533e-01      --  4.891947e+00      --  Large  299.86    6646 !|other       2.736533e-01      --  4.891947e+00      --  Large  299.86    6646 !|--                    --      --            --      --     --      --      -- !|other       3.685716e-01      --  3.439120e+00      -- 833.09  750.41    6657 !|
kClus_5_20_5_7           146   100   130 min  1.005608e+00  3.561066e+00  |timelim     8.310611e-02      --  3.564235e+00      --  Large 3600.16   10378  |--                    --      --            --      --     --      --      -- !|timelim     0.000000e+00      --  3.880612e+00      --    inf 3600.11     816  |timelim     0.000000e+00      --  3.860314e+00      --    inf 3600.09    1475  |other       5.848174e-01      --  3.561066e+00      -- 508.92  738.44 1000000 !|timelim     1.115988e-01      --  3.769803e+00      --  Large 3600.01   49822  |timelim     1.005608e+00      --  5.662758e+00      -- 463.12 3600.34  189482  |--                    --      --            --      --     --      --      -- !|timelim     5.716778e-01      --  7.152611e+00      --  Large 3600.23   55573  |timelim     2.593722e-01      --  6.511310e+00      --  Large 3600.04    5306  |timelim     0.000000e+00      --  4.821933e+00      --    inf 3602.05    8525  |timelim     9.848554e-01      --  4.465976e+00      -- 353.47 3600.64  252987  |timelim     0.000000e+00      --  4.821933e+00      --    inf 3602.05    8525  |timelim     9.848554e-01      --  4.465976e+00      -- 353.47 3600.64  252987  |timelim     0.000000e+00      --  3.908472e+00      --    inf 3601.21   12261  |timelim     8.113314e-01      --  3.673035e+00      -- 352.72 3600.27  118705  |other       2.708737e-01      --  3.250320e+00      --  Large  627.03    6615 !|other       2.708737e-01      --  3.250320e+00      --  Large  627.03    6615 !|other       2.757037e-01      --  4.447427e+00      --  Large 1488.91    6661 !|timelim     9.785645e-02      --  4.294172e+00      --  Large 3601.75    2067  |other       2.107836e-01      --  6.477328e+00      --  Large  293.17    6655 !|other       2.107836e-01      --  6.477328e+00      --  Large  293.17    6655 !|--                    --      --            --      --     --      --      -- !|other       2.945673e-01      --  3.333966e+00      --  Large  746.03    6661 !|
kClus_5_20_5_8           146   100   130 min  8.534525e-01  3.137813e+00  |timelim     9.071846e-02      --  3.137813e+00      --  Large 3600.20   15861  |--                    --      --            --      --     --      --      -- !|timelim     0.000000e+00      --  3.282304e+00      --    inf 3600.11    1220  |timelim     0.000000e+00      --  3.367120e+00      --    inf 3600.11    4460  |other       2.981459e-01      --  3.322399e+00      --  Large  899.55 1000000 !|timelim     8.891570e-02      --  3.522890e+00      --  Large 3600.01   61960  |timelim     8.534525e-01      --  5.717108e+00      -- 569.88 3600.33  189471  |--                    --      --            --      --     --      --      -- !|timelim     6.597457e-01      --  5.318977e+00      -- 706.22 3600.23   54351  |timelim     1.651402e-01      --  5.366013e+00      --  Large 3600.06    6346  |timelim     0.000000e+00      --  3.816037e+00      --    inf 3602.32    7479  |timelim     8.200108e-01      --  3.365205e+00      -- 310.39 3600.63  255301  |timelim     0.000000e+00      --  3.816037e+00      --    inf 3602.32    7479  |timelim     8.200108e-01      --  3.365205e+00      -- 310.39 3600.63  255301  |timelim     0.000000e+00      --  3.443773e+00      --    inf 3601.28   14098  |timelim     8.280766e-01      --  3.331564e+00      -- 302.33 3600.28  120810  |other       2.826988e-01      --  3.266530e+00      --  Large  626.60    6610 !|other       2.826988e-01      --  3.266530e+00      --  Large  626.60    6610 !|other       2.800739e-01      --  4.573151e+00      --  Large 1444.44    6663 !|timelim     8.484820e-02      --  3.803846e+00      --  Large 3602.11    2363  |other       2.290789e-01      --  3.967172e+00      --  Large  288.26    6599 !|other       2.290789e-01      --  3.967172e+00      --  Large  288.26    6599 !|--                    --      --            --      --     --      --      -- !|other       2.808618e-01      --  3.537110e+00      --  Large  706.17    6656 !|
kClus_5_20_5_9           146   100   130 min  1.038617e+00  2.678149e+00  |timelim     3.321590e-02      --  2.982566e+00      --  Large 3600.16   10700  |--                    --      --            --      --     --      --      -- !|timelim     0.000000e+00      --  3.005662e+00      --    inf 3600.09     391  |timelim     0.000000e+00      --  3.234112e+00      --    inf 3600.08    1623  |other       6.618916e-01      --  3.012308e+00      -- 355.11  889.09 1000000 !|timelim     5.692040e-02      --  3.123882e+00      --  Large 3600.01   27938  |timelim     8.011082e-01      --  5.588280e+00      -- 597.57 3600.36  187411  |--                    --      --            --      --     --      --      -- !|timelim     6.173935e-01      --  6.543408e+00      -- 959.84 3600.23   55312  |timelim     1.856316e-01      --  5.551624e+00      --  Large 3600.05    3978  |timelim     0.000000e+00      --  4.189583e+00      --    inf 3602.08    8093  |timelim     1.038617e+00      --  2.678149e+00      -- 157.86 3600.58  250034  |timelim     0.000000e+00      --  4.189583e+00      --    inf 3602.08    8093  |timelim     1.038617e+00      --  2.678149e+00      -- 157.86 3600.58  250034  |timelim     0.000000e+00      --  3.674665e+00      --    inf 3601.01   10060  |timelim     7.783002e-01      --  3.182611e+00      -- 308.92 3600.26  117512  |other       2.308491e-01      --  3.365153e+00      --  Large  628.39    6590 !|other       2.308491e-01      --  3.365153e+00      --  Large  628.39    6590 !|other       2.775069e-01      --  4.206472e+00      --  Large 1394.59    6663 !|timelim     1.175438e-01      --  3.143287e+00      --  Large 3601.84    2140  |other       2.443978e-01      --  4.435881e+00      --  Large  280.20    6644 !|other       2.443978e-01      --  4.435881e+00      --  Large  280.20    6644 !|--                    --      --            --      --     --      --      -- !|other       3.357913e-01      --  3.002592e+00      -- 794.18  707.50    6662 !|
proc_100                 188   121   284 min  3.113925e+01  3.113925e+01  |timelim     4.749326e+00  555.66  3.454348e+01   10.93 627.33 3600.10     976  |timelim     6.722170e+00  363.23  3.931800e+01   26.27 484.90 3600.13  229898  |normal      3.113894e+01    0.00  3.113925e+01    0.00   0.00  129.79     287  |timelim     1.109967e+01  180.54           inf     inf    inf 3600.13  259774  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|other       8.010492e+00  288.73  5.905127e+01   89.64 637.17 3165.79  199895 !|timelim     7.896693e+00  294.33  6.640071e+01  113.24 740.87 3600.51  161504  |normal      3.113844e+01    0.00  3.113925e+01    0.00   0.00    1.25      21  |other       3.110013e+01    0.13           inf     inf    inf  474.53  200001 !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|other       9.454127e+00  229.37  3.702952e+01   18.92 291.68 2682.55  702218 !|timelim     5.248412e+00  493.31  4.007926e+01   28.71 663.65 3600.47  230134  |normal      3.113916e+01    0.00  3.113916e+01   -0.00   0.00   16.12    1831  |normal      3.113925e+01    0.00  3.113925e+01   -0.00   0.00    1.47       9  |other       3.059000e+00  917.96  6.129491e+01   96.84  Large  307.92    6896 !|other       2.294002e+00   Large  5.416444e+01   73.94  Large  261.54    6684 !|normal      3.113910e+01    0.00  3.113910e+01   -0.00   0.00    9.40     122  |normal      3.113926e+01   -0.00  3.113926e+01    0.00   0.00    1.47      10  |--                    --     inf            --     inf     --      --      -- !|other       2.227329e+00   Large  4.772214e+01   53.25  Large 3409.00   65932 !|--                    --     inf            --     inf     --      --      -- !|normal               inf     inf           inf     inf   0.00    0.51       2 !|
proc_100b                188   121   284 min  3.113908e+01  3.113908e+01  |timelim     5.047902e+00  516.87  3.430362e+01   10.16 579.56 3600.11     952  |timelim     6.186339e+00  403.35  3.901362e+01   25.29 530.64 3600.20  249969  |normal      3.113894e+01    0.00  3.113925e+01    0.00   0.00   31.33       7  |timelim     1.072638e+01  190.30           inf     inf    inf 3600.31  204643  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|other       5.853957e+00  431.93  4.748610e+01   52.50 711.18 2756.28  199994 !|timelim     5.731070e+00  443.34  5.459362e+01   75.32 852.59 3600.37  176762  |normal      3.113830e+01    0.00  3.113925e+01    0.00   0.00    5.46      87  |other       3.101638e+01    0.40           inf     inf    inf  472.00  200001 !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|timelim     1.119851e+01  178.06  3.960535e+01   27.19 253.67 7225.72  632605  |timelim     6.908820e+00  350.71  4.050466e+01   30.08 486.27 3600.41  230521  |normal      3.113907e+01    0.00  3.113907e+01   -0.00   0.00   32.23    5199  |normal      3.113908e+01   -0.00  3.113908e+01    0.00   0.00    4.97      37  |other       2.262001e+00   Large  5.865845e+01   88.38  Large  389.09    6660 !|other       2.304000e+00   Large  6.025893e+01   93.52  Large  329.22    6932 !|normal      3.113883e+01    0.00  3.113906e+01   -0.00   0.00   14.26     147  |normal               inf     inf           inf     inf   0.00   43.50      30 !|--                    --     inf            --     inf     --      --      -- !|other       2.364000e+00   Large  5.222917e+01   67.73  Large 3357.05   64797 !|--                    --     inf            --     inf     --      --      -- !|other               -inf     inf           inf     inf    inf    0.09      -- !|
proc_21                   41    21    54 min  1.719623e+01  1.719623e+01  |normal      1.719605e+01    0.00  1.719623e+01   -0.00   0.00    1.27      49  |normal      1.719605e+01    0.00  1.719623e+01   -0.00   0.00    1.21      55  |normal      1.719608e+01    0.00  1.719623e+01   -0.00   0.00    2.91       6  |iterlim     1.719623e+01    0.00           inf     inf    inf 1832.16 1000000  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      1.719623e+01    0.00  1.719623e+01   -0.00   0.00    4.60     921  |normal      1.719623e+01    0.00  1.719623e+01   -0.00   0.00    5.57     863  |normal      1.719623e+01    0.00  1.719623e+01   -0.00   0.00    1.15      79  |normal               inf     inf           inf     inf   0.00      --      -- !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      1.719621e+01    0.00  1.719621e+01   -0.00   0.00    0.91     491  |normal      1.719588e+01    0.00  1.719588e+01   -0.00   0.00    2.57     447  |normal      1.719609e+01    0.00  1.719609e+01   -0.00   0.00    0.36      55  |normal      1.719623e+01    0.00  1.719623e+01   -0.00   0.00    0.59      47  |normal      1.719623e+01    0.00  1.719623e+01   -0.00   0.00   97.33    1075  |normal      1.719623e+01    0.00  1.719623e+01   -0.00   0.00   79.08     957  |normal      1.757272e+01   -2.19  1.757272e+01    2.19   0.00    7.16     125  |normal               inf     inf           inf     inf   0.00    0.24       4 !|--                    --     inf            --     inf     --      --      -- !|normal      1.719623e+01    0.00  1.719623e+01   -0.00   0.00   14.22     542  |--                    --     inf            --     inf     --      --      -- !|other               -inf     inf           inf     inf    inf    0.06      -- !|
proc_21b                  41    21    54 min  1.719591e+01  1.719591e+01  |normal      1.719605e+01   -0.00  1.719623e+01    0.00   0.00    0.83      25  |normal      1.719605e+01   -0.00  1.719623e+01    0.00   0.00    2.20     123  |normal      1.719605e+01   -0.00  1.719623e+01    0.00   0.00    2.16       5  |iterlim     1.719623e+01   -0.00           inf     inf    inf 1424.67 1000000  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      1.719619e+01   -0.00  1.719623e+01    0.00   0.00   43.95   11575  |normal      1.719619e+01   -0.00  1.719623e+01    0.00   0.00   64.47   11833  |normal      1.719610e+01   -0.00  1.719623e+01    0.00   0.00    2.33     225  |other       1.574757e+01    9.20           inf     inf    inf   89.93  200001 !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      1.719621e+01   -0.00  1.719621e+01    0.00   0.00    1.19    1355  |normal      1.719588e+01    0.00  1.719588e+01   -0.00   0.00    7.21    1629  |normal      1.719622e+01   -0.00  1.719622e+01    0.00   0.00    0.24      97  |normal      1.719591e+01   -0.00  1.719591e+01    0.00   0.00    0.47      91  |normal      1.719623e+01   -0.00  1.719623e+01    0.00   0.00  908.60    8770  |normal      1.719623e+01   -0.00  1.719623e+01    0.00   0.00  548.96    7570  |normal      1.719623e+01   -0.00  1.719623e+01    0.00   0.00   18.38     172  |normal      1.765665e+01   -2.68  1.765665e+01    2.68   0.00    6.37      20  |--                    --     inf            --     inf     --      --      -- !|normal      1.737715e+01   -1.05  1.737715e+01    1.05   0.00   37.68    1222  |--                    --     inf            --     inf     --      --      -- !|normal      1.719623e+01   -0.00  1.719623e+01    0.00   0.00    5.21     164  |
proc_31                   76    41   100 min  1.224562e+01  1.224562e+01  |normal      1.224572e+01   -0.00  1.224584e+01    0.00   0.00    0.60       9  |normal      1.224572e+01   -0.00  1.224584e+01    0.00   0.00    1.22       9  |normal      1.224572e+01   -0.00  1.224584e+01    0.00   0.00    1.32       1  |iterlim     1.224584e+01   -0.00           inf     inf    inf 2123.32 1000000  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      1.224584e+01   -0.00  1.224584e+01    0.00   0.00    3.59     595  |normal      1.224584e+01   -0.00  1.224584e+01    0.00  -0.00    5.02     555  |normal      1.224519e+01    0.00  1.224584e+01    0.00   0.01    0.18       9  |other       1.223951e+01    0.05           inf     inf    inf  150.63  200001 !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      1.224579e+01   -0.00  1.224579e+01    0.00   0.00    0.52     139  |normal      1.224584e+01   -0.00  1.224584e+01    0.00   0.00    3.09     273  |normal      1.224584e+01   -0.00  1.224584e+01    0.00   0.00    0.28       3  |normal      1.224562e+01   -0.00  1.224562e+01    0.00   0.00    0.13       3  |normal      1.224584e+01   -0.00  1.224584e+01    0.00   0.00   24.43     626  |normal      1.224584e+01   -0.00  1.224584e+01    0.00   0.00   19.55     594  |normal      1.257597e+01   -2.70  1.257597e+01    2.70   0.00    1.52      32  |normal               inf     inf           inf     inf   0.00    0.22       4 !|--                    --     inf            --     inf     --      --      -- !|normal      1.316516e+01   -7.51  1.316516e+01    7.51   0.00   25.87     560  |--                    --     inf            --     inf     --      --      -- !|normal      1.257597e+01   -2.70  1.257597e+01    2.70   0.00    0.27       4  |
proc_31b                  76    41   100 min  1.224563e+01  1.224563e+01  |normal      1.224572e+01   -0.00  1.224584e+01    0.00   0.00    1.30      31  |normal      1.224572e+01   -0.00  1.224584e+01    0.00   0.00    1.52      19  |normal      1.224572e+01   -0.00  1.224584e+01    0.00   0.00    1.55       1  |iterlim     1.224584e+01   -0.00           inf     inf    inf 1940.37 1000000  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|other       1.218417e+01    0.50  1.224584e+01    0.00   0.51 1206.42  199985 !|other       1.111800e+01   10.14  1.224584e+01    0.00  10.14 1837.92  199997 !|normal      1.224501e+01    0.01  1.224584e+01    0.00   0.01    0.31      17  |other       1.223701e+01    0.07           inf     inf    inf  142.84  200001 !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      1.224584e+01   -0.00  1.224584e+01    0.00   0.00    5.51    4439  |normal      1.224584e+01   -0.00  1.224584e+01    0.00   0.00   56.14   10329  |normal      1.224584e+01   -0.00  1.224584e+01    0.00   0.00    0.62       3  |normal      1.224563e+01    0.00  1.224563e+01   -0.00   0.00    0.38       3  |other       5.626005e+00  117.66  1.842569e+01   50.47 227.51 1384.43    9148 !|other       5.796000e+00  111.28  1.842569e+01   50.47 217.90 1191.10    8326 !|normal      1.224584e+01   -0.00  1.224584e+01    0.00   0.00    1.74      32  |normal               inf     inf           inf     inf   0.00    0.53      10 !|--                    --     inf            --     inf     --      --      -- !|normal      1.257597e+01   -2.70  1.257597e+01    2.70   0.00 1154.16   24246  |--                    --     inf            --     inf     --      --      -- !|normal               inf     inf           inf     inf   0.00    1.55      22 !|
