                         Direction  NumberOfDiscreteVariables  NumberOfEquations  NumberOfNonZeros  NumberOfNonlinearNonZeros  NumberOfVariables  KnownPrimalBound  KnownDualBound   Fail FailReason
                        Fail                            False                False                False         True                 True        False                False                False                False        False                                           False        False        False                                           False                                           False        False        False                False                   True                False        False        False                False                False
                        FailReason                                                                          No data.             No data.                                                                                                                                                                                                                                                                                                                                 No data.                                                                                         
                        Gap                             1e-05           0.00060422                    0          NaN                  NaN            0                    0                    0                    0        1e-05                                      0.00119985            0            0                                               0                                               0        1e-05            0                    0                    NaN                    0            0            0                    0                    0
                        PrimalGap                 3.95428e-05          3.95415e-05          3.95416e-05          inf                  inf   3.9543e-05          6.91277e-06          3.95416e-05          3.95425e-05  3.95435e-05                                     3.95405e-05  3.95422e-05 -6.94128e-08                                     3.95406e-05                                     3.95422e-05  3.63815e-05  3.95415e-05          3.95427e-05                    inf          3.95411e-05   3.9543e-05  6.91277e-06          3.95425e-05          3.95427e-05
                        DualGap                  -2.95425e-05          0.000564656         -3.95416e-05          inf                  inf  -3.9543e-05         -6.91277e-06         -3.95416e-05         -3.95425e-05 -2.95432e-05                                      0.00116027 -3.95422e-05  6.94128e-08                                    -3.95406e-05                                    -3.95422e-05 -2.63812e-05 -3.95415e-05         -3.95427e-05                    inf         -3.95411e-05  -3.9543e-05 -6.91277e-06         -3.95425e-05         -3.95427e-05
kClus_3_10_2_8          TerminationStatus                   0                    0                    0          NaN                  NaN            0                    0                    0                    0            0                                               0            0            0                                               0                                               0            0            0                    0                    NaN                    0            0            0                    0                    0
                        PrimalBound                  0.317229             0.317229             0.317229          NaN                  NaN     0.317229             0.317211             0.317229             0.317229     0.317229                                        0.317229     0.317229     0.317204                                        0.317228                                        0.317229     0.317221     0.317229             0.317229                    NaN             0.317229     0.317229     0.317211             0.317229             0.317229
                        DualBound                    0.317225             0.317229             0.317229          NaN                  NaN     0.317229             0.317211             0.317229             0.317229     0.317225                                        0.316905     0.317229     0.317204                                        0.317228                                        0.317229     0.317218     0.317229             0.317229                    NaN             0.317229     0.317229     0.317211             0.317229             0.317229
                        SolverTime                        6.9                2.326                34.42          NaN                  NaN        2.161               17.401                34.42               13.601        58.94                                          70.619        2.468         9.72                                         149.207                                          30.873        44.04         5.26                63.68                    NaN                0.495        2.161       17.401               13.601                1.351
                        ETSolver                        6.968                2.336               34.432          NaN                  NaN        2.205               17.459               34.432               13.612       58.998                                           70.63        2.526        9.753                                         149.219                                          30.885       44.094        5.271               63.691                    NaN                0.509        2.205       17.459               13.612                1.369
                        NumberOfIterations                  0                    0                    0          NaN                  NaN         8684               135231                    0                11131            0                                               0         6571        66069                                               0                                           18049            0            0                    0                    NaN                 6835         8684       135231                11131                26941
                        NumberOfDomainViolations            0                    0                    0          NaN                  NaN          NaN                  NaN                    0                    0            0                                               0          NaN          NaN                                               0                                               0            0            0                    0                    NaN                    0          NaN          NaN                    0                    0
                        NumberOfNodes                     359                 1051                  811          NaN                  NaN          779                 1937                  811                  936         1505                                            1181          553         1871                                            1994                                            1483          922          693                 1985                    NaN                  959          779         1937                  936                  922
                        Fail                            False                False                False         True                 True        False                False                False                False        False                                           False        False        False                                           False                                           False        False        False                False                   True                False        False        False                False                False
                        FailReason                                                                          No data.             No data.                                                                                                                                                                                                                                                                                                                                 No data.                                                                                         
                        Gap                             1e-05                    0                    0          NaN                  NaN            0                    0                    0                    0        1e-05                                      0.00101968            0            0                                               0                                               0        1e-05            0                    0                    NaN                    0            0            0                    0                    0
                        PrimalGap                 7.82766e-05          7.82735e-05          7.81487e-05          inf                  inf  7.82751e-05          2.41634e-05          7.81487e-05          7.82754e-05  7.82765e-05                                     7.82719e-05  7.82878e-05  9.76344e-08                                     7.68795e-05                                     7.82878e-05  5.55231e-05  7.82735e-05          7.82735e-05                    inf          7.82326e-05  7.82751e-05  2.41634e-05          7.82754e-05          7.83747e-05
                        DualGap                  -6.82759e-05         -7.82735e-05         -7.81487e-05          inf                  inf -7.82751e-05         -2.41634e-05         -7.81487e-05         -7.82754e-05 -6.82758e-05                                     0.000941334 -7.82878e-05 -9.76344e-08                                    -7.68795e-05                                    -7.82878e-05 -4.55226e-05 -7.82735e-05         -7.82735e-05                    inf         -7.82326e-05 -7.82751e-05 -2.41634e-05         -7.82754e-05         -7.83747e-05
kClus_3_10_2_9          TerminationStatus                   0                    0                    0          NaN                  NaN            0                    0                    0                    0            0                                               0            0            0                                               0                                               0            0            0                    0                    NaN                    0            0            0                    0                    0
                        PrimalBound                  0.195236             0.195236             0.195236          NaN                  NaN     0.195236             0.195221             0.195236             0.195236     0.195236                                        0.195236     0.195236     0.195216                                        0.195236                                        0.195236     0.195235     0.195236             0.195236                    NaN             0.195236     0.195236     0.195221             0.195236             0.195236
                        DualBound                    0.195234             0.195236             0.195236          NaN                  NaN     0.195236             0.195221             0.195236             0.195236     0.195234                                        0.195236     0.195236     0.195216                                        0.195236                                        0.195236     0.195233     0.195236             0.195236                    NaN             0.195236     0.195236     0.195221             0.195236             0.195236
                        SolverTime                       2.92                0.635               12.805          NaN                  NaN        1.816                9.155               12.805                7.458        17.29                                          56.316         1.42        4.381                                          47.605                                           8.442        14.42        2.058               34.036                    NaN                0.397        1.816        9.155                7.458                0.646
                        ETSolver                         2.98                0.645               12.817          NaN                  NaN        1.845                9.185               12.817                7.634       17.335                                          56.328        1.453        4.412                                          47.622                                           8.452       14.471        2.069               34.046                    NaN                0.418        1.845        9.185                7.634                0.687
                        NumberOfIterations                  0                    0                    0          NaN                  NaN         7336                80132                    0                 5443            0                                               0         3793        33554                                               0                                            4261            0            0                    0                    NaN                 4837         7336        80132                 5443                10985
                        NumberOfDomainViolations            0                    0                    0          NaN                  NaN          NaN                  NaN                    0                    0            0                                               0          NaN          NaN                                               0                                               0            0            0                    0                    NaN                    0          NaN          NaN                    0                    0
                        NumberOfNodes                     159                  251                  321          NaN                  NaN          651                 1211                  321                  464          141                                             327          323          687                                             448                                             347          159          245                 1039                    NaN                  734          651         1211                  464                  429
                        Fail                            False                False                False         True                 True        False                False                False                False        False                                           False        False        False                                           False                                           False        False        False                False                   True                False        False        False                False                False
                        FailReason                                                                          No data.             No data.                                                                                                                                                                                                                                                                                                                                 No data.                                                                                         
                        Gap                             1e-05                    0                    0          NaN                  NaN            0                    0                    0                    0        1e-05                                               0            0            0                                               0                                               0        1e-05            0          5.05132e-07                    NaN                    0            0            0                    0                    0
                        PrimalGap                 0.000104181          0.000104183          0.000104183          inf                  inf  0.000104188          2.58913e-05          0.000104183          0.000104188  0.000104188                                     0.000104181  0.000104189 -4.66984e-08                                     0.000104175                                      0.00010419  9.65508e-05  0.000104183          0.000104184                    inf          0.000104198  0.000104188  2.58913e-05          0.000104188          0.000104284
                        DualGap                  -9.41796e-05         -0.000104183         -0.000104183          inf                  inf -0.000104188         -2.58913e-05         -0.000104183         -0.000104188 -9.41875e-05                                    -0.000104181 -0.000104189  4.66984e-08                                    -0.000104175                                     -0.00010419 -8.65499e-05 -0.000104183         -0.000103679                    inf         -0.000104198 -0.000104188 -2.58913e-05         -0.000104188         -0.000104284
kClus_3_10_3_1          TerminationStatus                   0                    0                    0          NaN                  NaN            0                    0                    0                    0            0                                               0            0            0                                               0                                               0            0            0                    0                    NaN                    0            0            0                    0                    0
                        PrimalBound                  0.983679             0.983679             0.983679          NaN                  NaN     0.983679             0.983639             0.983679             0.983679     0.983679                                        0.983679     0.983679     0.983639                                        0.983679                                        0.983679     0.983667     0.983679             0.983678                    NaN             0.983679     0.983679     0.983639             0.983679             0.983679
                        DualBound                    0.983669              0.98277             0.983679          NaN                  NaN     0.983679             0.983639             0.983679             0.983679     0.983669                                        0.983138     0.983679     0.983639                                        0.983679                                        0.983679     0.983657     0.982954             0.983678                    NaN             0.983679     0.983679     0.983639             0.983679             0.983679
                        SolverTime                       5.97                4.513              103.782          NaN                  NaN        5.248               89.859              103.782               76.204        58.68                                          40.059        6.429       38.482                                         246.134                                          63.977         46.8        22.68              158.143                    NaN                1.051        5.248       89.859               76.204                7.659
                        ETSolver                        6.036                4.523              103.794          NaN                  NaN        5.278               89.897              103.794               76.315       58.735                                           40.07        6.463       38.515                                         246.149                                           63.99       46.845       22.691              158.154                    NaN                1.065        5.278       89.897               76.315                7.678
                        NumberOfIterations                  0                    0                    0          NaN                  NaN        19008               517864                    0                39107            0                                               0        15272       237910                                               0                                           33264            0            0                    0                    NaN                22497        19008       517864                39107                96804
                        NumberOfDomainViolations            0                    0                    0          NaN                  NaN          NaN                  NaN                    0                    0            0                                               0          NaN          NaN                                               0                                               0            0            0                    0                    NaN                    0          NaN          NaN                    0                    0
                        NumberOfNodes                     209                 1657                 2233          NaN                  NaN         1609                 3119                 2233                 3230          423                                            1365         1165         2519                                            2463                                            2662          361         2531                 4383                    NaN                 2261         1609         3119                 3230                 1431
                        Fail                            False                False                False         True                 True        False                False                False                False        False                                           False        False        False                                           False                                           False        False        False                False                   True                False        False        False                False                False
                        FailReason                                                                          No data.             No data.                                                                                                                                                                                                                                                                                                                                 No data.                                                                                         
                        Gap                             1e-05           0.00092523                    0          NaN                  NaN            0                    0                    0                    0        1e-05                                     0.000550073            0            0                                               0                                               0        1e-05  0.000737526                    0                    NaN                    0            0            0                    0                    0
                        PrimalGap                 4.06462e-05          4.06452e-05          4.06226e-05          inf                  inf  4.06451e-05         -1.77398e-08          4.06226e-05          4.06462e-05  4.06463e-05                                     4.06447e-05  4.06478e-05  8.73824e-08                                     4.06398e-05                                     4.06478e-05   2.8224e-05  4.06452e-05          3.96816e-05                    inf          4.06158e-05  4.06451e-05 -1.77398e-08          4.06462e-05          4.06458e-05
                        DualGap                  -3.06459e-05          0.000884549         -4.06226e-05          inf                  inf -4.06451e-05          1.77398e-08         -4.06226e-05         -4.06462e-05  -3.0646e-05                                     0.000509407 -4.06478e-05 -8.73824e-08                                    -4.06398e-05                                    -4.06478e-05 -1.82238e-05  0.000696852         -3.96816e-05                    inf         -4.06158e-05 -4.06451e-05  1.77398e-08         -4.06462e-05         -4.06458e-05
kClus_3_10_3_10         TerminationStatus                   0                    0                    0          NaN                  NaN            0                    0                    0                    0            0                                               0            0            0                                               0                                               0            0            0                    0                    NaN                    0            0            0                    0                    0
                        PrimalBound                  0.825593             0.825593             0.825593          NaN                  NaN     0.825593             0.825554             0.825593             0.825593     0.825593                                        0.825593     0.825593     0.825554                                        0.825593                                        0.825593     0.825582     0.825593             0.825593                    NaN             0.825593     0.825593     0.825554             0.825593             0.825593
                        DualBound                    0.825584             0.825198             0.825593          NaN                  NaN     0.825593             0.825554             0.825593             0.825593     0.825584                                        0.825033     0.825593     0.825554                                        0.825593                                        0.825593     0.825574     0.825593             0.825593                    NaN             0.825593     0.825593     0.825554             0.825593             0.825593
                        SolverTime                      20.35                8.054              178.811          NaN                  NaN         7.71              124.901              178.811               85.683       154.73                                          97.221        9.444       52.478                                         373.828                                          82.437       124.54       17.878              173.758                    NaN                1.263         7.71      124.901               85.683                 9.56
                        ETSolver                       20.417                8.065              178.824          NaN                  NaN        7.746               124.93              178.824               85.706      154.789                                          97.233        9.478       52.512                                         373.843                                           82.45      124.635       17.889              173.768                    NaN                1.278        7.746       124.93               85.706                9.587
                        NumberOfIterations                  0                    0                    0          NaN                  NaN        28411               684420                    0                44015            0                                               0        22604       305401                                               0                                           42219            0            0                    0                    NaN                31573        28411       684420                44015               179917
                        NumberOfDomainViolations            0                    0                    0          NaN                  NaN          NaN                  NaN                    0                    0            0                                               0          NaN          NaN                                               0                                               0            0            0                    0                    NaN                    0          NaN          NaN                    0                    0
                        NumberOfNodes                     917                 3493                 3995          NaN                  NaN         2327                 4645                 3995                 3568         1897                                            3445         1811         3143                                            3930                                            3404         1325         1987                 4855                    NaN                 3787         2327         4645                 3568                 2095
                        Fail                            False                False                False         True                 True        False                False                False                False        False                                           False        False        False                                           False                                           False        False        False                False                   True                False        False        False                False                False
                        FailReason                                                                          No data.             No data.                                                                                                                                                                                                                                                                                                                                 No data.                                                                                         
                        Gap                             1e-05          0.000478051                    0          NaN                  NaN            0                    0                    0                    0        1e-05                                     0.000678507            0            0                                               0                                               0        1e-05            0                    0                    NaN                    0            0            0                    0                    0
                        PrimalGap                  4.7401e-05          4.74001e-05             4.74e-05          inf                  inf  4.74007e-05          -4.5737e-08             4.74e-05          4.74012e-05  4.74005e-05                                     4.73995e-05  4.73996e-05  2.04343e-07                                     4.73515e-05                                     4.73973e-05  3.44684e-05  4.74002e-05          4.73384e-05                    inf          4.73982e-05  4.74007e-05  -4.5737e-08          4.74012e-05          4.74105e-05
                        DualGap                  -3.74006e-05          0.000430631            -4.74e-05          inf                  inf -4.74007e-05           4.5737e-08            -4.74e-05         -4.74012e-05 -3.74001e-05                                     0.000631078 -4.73996e-05 -2.04343e-07                                    -4.73515e-05                                    -4.73973e-05 -2.44682e-05 -4.74002e-05         -4.73384e-05                    inf         -4.73982e-05 -4.74007e-05   4.5737e-08         -4.74012e-05         -4.74105e-05
kClus_3_10_3_2          TerminationStatus                   0                    0                    0          NaN                  NaN            0                    0                    0                    0            0                                               0            0            0                                               0                                               0            0            0                    0                    NaN                    0            0            0                    0                    0
                        PrimalBound                  0.495324             0.495324             0.495324          NaN                  NaN     0.495324             0.495284             0.495324             0.495324     0.495324                                        0.495324     0.495324     0.495293                                        0.495324                                        0.495324     0.495318     0.495324             0.495324                    NaN             0.495324     0.495324     0.495284             0.495324             0.495324
                        DualBound                    0.495319             0.494988             0.495324          NaN                  NaN     0.495324             0.495284             0.495324             0.495324     0.495319                                         0.49458     0.495324     0.495293                                        0.495324                                        0.495324     0.495313     0.495324             0.495324                    NaN             0.495324     0.495324     0.495284             0.495324             0.495324
                        SolverTime                       5.18                1.987               59.137          NaN                  NaN        3.296               38.551               59.137               21.888        53.34                                          32.174        4.519       18.799                                         140.289                                          36.912        48.55        7.442               77.451                    NaN                0.625        3.296       38.551               21.888                4.892
                        ETSolver                        5.219                1.998               59.154          NaN                  NaN        3.327                38.58               59.154               21.933       53.386                                          32.186        4.552       18.843                                         140.312                                          36.923       48.603        7.452               77.461                    NaN                 0.64        3.327        38.58               21.933                 4.91
                        NumberOfIterations                  0                    0                    0          NaN                  NaN        11748               306736                    0                12527            0                                               0        10103       138415                                               0                                           18963            0            0                    0                    NaN                12128        11748       306736                12527                90430
                        NumberOfDomainViolations            0                    0                    0          NaN                  NaN          NaN                  NaN                    0                    0            0                                               0          NaN          NaN                                               0                                               0            0            0                    0                    NaN                    0          NaN          NaN                    0                    0
                        NumberOfNodes                     193                  727                 1302          NaN                  NaN         1009                 2807                 1302                 1021          690                                             953          817         1749                                            1219                                            1484          410          687                 1734                    NaN                 1311         1009         2807                 1021                 1214
                        Fail                            False                False                False         True                 True        False                False                False                False        False                                           False        False        False                                           False                                           False        False        False                False                   True                False        False        False                False                False
                        FailReason                                                                          No data.             No data.                                                                                                                                                                                                                                                                                                                                 No data.                                                                                         
                        Gap                             1e-05          0.000680208                    0          NaN                  NaN            0                    0                    0                    0        1e-05                                      0.00150451            0            0                                               0                                               0        1e-05            0                    0                    NaN                    0            0            0                    0                    0
                        PrimalGap                 8.24664e-05          8.24644e-05          8.24644e-05          inf                  inf  8.24664e-05         -2.14535e-08          8.24644e-05          8.24666e-05  8.24662e-05                                     8.24633e-05  8.24667e-05  1.80452e-05                                     8.24274e-05                                      8.2467e-05  6.93241e-05  8.24643e-05          8.24542e-05                    inf          8.23863e-05  8.24664e-05 -2.14535e-08          8.24666e-05          8.24674e-05
                        DualGap                  -7.24657e-05          0.000597694         -8.24644e-05          inf                  inf -8.24664e-05          2.14535e-08         -8.24644e-05         -8.24666e-05 -7.24655e-05                                      0.00142193 -8.24667e-05 -1.80452e-05                                    -8.24274e-05                                     -8.2467e-05 -5.93235e-05 -8.24643e-05         -8.24542e-05                    inf         -8.23863e-05 -8.24664e-05  2.14535e-08         -8.24666e-05         -8.24674e-05
kClus_3_10_3_3          TerminationStatus                   0                    0                    0          NaN                  NaN            0                    0                    0                    0            0                                               0            0            0                                               0                                               0            0            0                    0                    NaN                    0            0            0                    0                    0
                        PrimalBound                  0.496116             0.496116             0.496116          NaN                  NaN     0.496116             0.496076             0.496116             0.496116     0.496116                                        0.496116     0.496116     0.496074                                        0.496116                                        0.496116     0.496109     0.496116             0.496116                    NaN             0.496116     0.496116     0.496076             0.496116             0.496116
                        DualBound                    0.496111             0.496027             0.496116          NaN                  NaN     0.496116             0.496076             0.496116             0.496116     0.496111                                        0.495639     0.496116     0.496074                                        0.496116                                        0.496116     0.496104     0.496116             0.496116                    NaN             0.496116     0.496116     0.496076             0.496116             0.496116
                        SolverTime                        1.7                1.498               31.536          NaN                  NaN        1.998               30.395               31.536               21.133        29.69                                          63.927        2.674       17.517                                         116.489                                          19.993        27.32         6.27               81.636                    NaN                 0.51        1.998       30.395               21.133                3.558
                        ETSolver                        1.754                1.509               31.552          NaN                  NaN        2.028               30.438               31.552               21.148       29.744                                          63.939        2.714        17.55                                         116.504                                          20.005       27.365        6.281               81.649                    NaN                0.525        2.028       30.438               21.148                3.576
                        NumberOfIterations                  0                    0                    0          NaN                  NaN         7120               217406                    0                10968            0                                               0         5742       124550                                               0                                           10326            0            0                    0                    NaN                 9176         7120       217406                10968                60215
                        NumberOfDomainViolations            0                    0                    0          NaN                  NaN          NaN                  NaN                    0                    0            0                                               0          NaN          NaN                                               0                                               0            0            0                    0                    NaN                    0          NaN          NaN                    0                    0
                        NumberOfNodes                      63                  567                  738          NaN                  NaN          573                 1784                  738                  891          203                                             827          451         1377                                            1125                                             811          123          629                 2141                    NaN                 1080          573         1784                  891                  621
                        Fail                            False                False                False         True                 True        False                False                False                False        False                                           False        False        False                                           False                                           False        False        False                False                   True                False        False        False                False                False
                        FailReason                                                                          No data.             No data.                                                                                                                                                                                                                                                                                                                                 No data.                                                                                         
                        Gap                             1e-05          0.000179163                    0          NaN                  NaN            0                    0                    0                    0        1e-05                                     0.000962095            0            0                                               0                                               0        1e-05            0                    0                    NaN                    0            0            0                    0                    0
